Tree_Name	assembly	pep	cds	gff	gtf
Starmerella_asiatica	yHMPu5000037242_Starmerella_asiatica_SPADES.fas	yHMPu5000037242_Starmerella_asiatica_SPADES.final.pep	yHMPu5000037242_Starmerella_asiatica_SPADES.final.cds	yHMPu5000037242_Starmerella_asiatica_SPADES.final.gff3	yHMPu5000037242_Starmerella_asiatica_SPADES.final.gtf
Allodekkera_sacchari	yHMPu5000037244_Allodekkera_sacchari_SPADES.fas	yHMPu5000037244_Allodekkera_sacchari_SPADES.final.pep	yHMPu5000037244_Allodekkera_sacchari_SPADES.final.cds	yHMPu5000037244_Allodekkera_sacchari_SPADES.final.gff3	yHMPu5000037244_Allodekkera_sacchari_SPADES.final.gtf
Scheffersomyces_titanus	yHMPu5000037252_Scheffersomyces_titanus_SPADES.fas	yHMPu5000037252_Scheffersomyces_titanus_SPADES.final.pep	yHMPu5000037252_Scheffersomyces_titanus_SPADES.final.cds	yHMPu5000037252_Scheffersomyces_titanus_SPADES.final.gff3	yHMPu5000037252_Scheffersomyces_titanus_SPADES.final.gtf
Vanderwaltozyma_verrucispora	yHMPu5000037837_Vanderwaltozyma_verrucispora_S176_SPADES.fas	yHMPu5000037837_Vanderwaltozyma_verrucispora_S176_SPADES.final.pep	yHMPu5000037837_Vanderwaltozyma_verrucispora_S176_SPADES.final.cds	yHMPu5000037837_Vanderwaltozyma_verrucispora_S176_SPADES.final.gff3	yHMPu5000037837_Vanderwaltozyma_verrucispora_S176_SPADES.final.gtf
Sugiyamaella_marionensis	yHMPu5000037839_Sugiyamaella_marionensis_S116_SPADES.fas	yHMPu5000037839_Sugiyamaella_marionensis_S116_SPADES.final.pep	yHMPu5000037839_Sugiyamaella_marionensis_S116_SPADES.final.cds	yHMPu5000037839_Sugiyamaella_marionensis_S116_SPADES.final.gff3	yHMPu5000037839_Sugiyamaella_marionensis_S116_SPADES.final.gtf
Ogataea_allantospora	yHMPu5000037861_Ogataea_allantospora_SPADES.fas	yHMPu5000037861_Ogataea_allantospora_SPADES.final.pep	yHMPu5000037861_Ogataea_allantospora_SPADES.final.cds	yHMPu5000037861_Ogataea_allantospora_SPADES.final.gff3	yHMPu5000037861_Ogataea_allantospora_SPADES.final.gtf
Candida_trypodendri	yHMPu5000037871_Candida_trypodendroni_SPADES.fas	yHMPu5000037871_Candida_trypodendroni_SPADES.final.pep	yHMPu5000037871_Candida_trypodendroni_SPADES.final.cds	yHMPu5000037871_Candida_trypodendroni_SPADES.final.gff3	yHMPu5000037871_Candida_trypodendroni_SPADES.final.gtf
Lipomyces_kononenkoae	yHMPu5000037878_Lipomyces_kononenkoae_SPADES.fas	yHMPu5000037878_Lipomyces_kononenkoae_SPADES.final.pep	yHMPu5000037878_Lipomyces_kononenkoae_SPADES.final.cds	yHMPu5000037878_Lipomyces_kononenkoae_SPADES.final.gff3	yHMPu5000037878_Lipomyces_kononenkoae_SPADES.final.gtf
Lipomyces_spencermartinsiae	yHMPu5000037879_Lipomyces_spencer-martinsiae_S172_SPADES.fas	yHMPu5000037879_Lipomyces_spencer-martinsiae_S172_SPADES.final.pep	yHMPu5000037879_Lipomyces_spencer-martinsiae_S172_SPADES.final.cds	yHMPu5000037879_Lipomyces_spencer-martinsiae_S172_SPADES.final.gff3	yHMPu5000037879_Lipomyces_spencer-martinsiae_S172_SPADES.final.gtf
Candida_kazuoi	yHMPu5000037897_Candida_kazuoi_SPADES.fas	yHMPu5000037897_Candida_kazuoi_SPADES.final.pep	yHMPu5000037897_Candida_kazuoi_SPADES.final.cds	yHMPu5000037897_Candida_kazuoi_SPADES.final.gff3	yHMPu5000037897_Candida_kazuoi_SPADES.final.gtf
