assembly_fullID_updated	Tip_ID	assembly_fullID_updated_kegg	assembly_fullID_updated_OG	Tip_ID_v2	FINAL_Tip_ID	DanaKegg
yHMPu5000034884_peterozyma_toletana_160519	Peterozyma_toletana_CBS2504	yHMPu5000034884_peterozyma_toletana_160519	yHMPu5000034884_peterozyma_toletana_160519	Peterozyma_toletana	Peterozyma_toletana	yHMPu5000034884_peterozyma_toletana_160519
yHMPu5000034885_ogataea_zsoltii_160519	Ogataea_zsoltii_CBS9262	yHMPu5000034885_ogataea_zsoltii_160519	yHMPu5000034885_ogataea_zsoltii_160519	Ogataea_zsoltii	Ogataea_zsoltii	yHMPu5000034885_ogataea_zsoltii_160519
yHMPu5000034886_ogataea_trehalophila_160519	Ogataea_trehalophila_CBS5361	yHMPu5000034886_ogataea_trehalophila_160519	yHMPu5000034886_ogataea_trehalophila_160519	Ogataea_trehalophila	Ogataea_trehalophila	yHMPu5000034886_ogataea_trehalophila_160519
yHMPu5000034887_ogataea_trehaloabstinens_160519	Ogataea_trehaloabstinens_CBS9256	yHMPu5000034887_ogataea_trehaloabstinens_160519	yHMPu5000034887_ogataea_trehaloabstinens_160519	Ogataea_trehaloabstinens	Ogataea_trehaloabstinens	yHMPu5000034887_ogataea_trehaloabstinens_160519
yHMPu5000034889_Ogataea_salicorniae_SPADES	Ogataea_salicorniae_CBS8071	yHMPu5000034889_Ogataea_salicorniae_SPADES	yHMPu5000034889_Ogataea_salicorniae_SPADES	Ogataea_salicorniae	Ogataea_salicorniae	yHMPu5000034889_Ogataea_salicorniae_SPADES
yHMPu5000034890_ogataea_ramenticola_160519	Ogataea_ramenticola_CBS8699	yHMPu5000034890_ogataea_ramenticola_160519	yHMPu5000034890_ogataea_ramenticola_160519	Ogataea_ramenticola	Ogataea_ramenticola	yHMPu5000034890_ogataea_ramenticola_160519
yHMPu5000034891_ogataea_pini_160519	Ogataea_pini_CBS744	yHMPu5000034891_ogataea_pini_160519	yHMPu5000034891_ogataea_pini_160519	Ogataea_pini	Ogataea_pini	yHMPu5000034891_ogataea_pini_160519
yHMPu5000034892_ogataea_pilisensis_160519	Ogataea_pilisensis_CBS9259	yHMPu5000034892_ogataea_pilisensis_160519	yHMPu5000034892_ogataea_pilisensis_160519	Ogataea_pilisensis	Ogataea_pilisensis	yHMPu5000034892_ogataea_pilisensis_160519
yHMPu5000034893_ogataea_philodendra_160519	Ogataea_philodendri_CBS6075	yHMPu5000034893_ogataea_philodendra_160519	yHMPu5000034893_ogataea_philodendra_160519	Ogataea_philodendri	Ogataea_philodendri	yHMPu5000034893_ogataea_philodendra_160519
yHMPu5000034894_naumovozyma_baii_190924	Naumovozyma_baii_CBS12642	yHMPu5000034894_naumovozyma_baii_190924	yHMPu5000034894_naumovozyma_baii_190924	Naumovozyma_baii	Naumovozyma_baii	yHMPu5000034894_naumovozyma_baii_190924
yHMPu5000034895_ogataea_angusta_160519	Ogataea_angusta_CBS7073	yHMPu5000034895_ogataea_angusta_160519	yHMPu5000034895_ogataea_angusta_160519	Ogataea_angusta	Ogataea_angusta	yHMPu5000034895_ogataea_angusta_160519
yHMPu5000034896_ogataea_dorogensis_160519	Ogataea_dorogensis_CBS9260	yHMPu5000034896_ogataea_dorogensis_160519	yHMPu5000034896_ogataea_dorogensis_160519	Ogataea_dorogensis	Ogataea_dorogensis	yHMPu5000034896_ogataea_dorogensis_160519
yHMPu5000034897_Ogataea_glucozyma_SPAdes	Ogataea_glucozyma_CBS5766	yHMPu5000034897_Ogataea_glucozyma_SPAdes	yHMPu5000034897_Ogataea_glucozyma_SPAdes	Ogataea_glucozyma	Ogataea_glucozyma	yHMPu5000034897_Ogataea_glucozyma_SPAdes
yHMPu5000034899_ogataea_kodamae_160519	Ogataea_kodamae_CBS7081	yHMPu5000034899_ogataea_kodamae_160519	yHMPu5000034899_ogataea_kodamae_160519	Ogataea_kodamae	Ogataea_kodamae	yHMPu5000034899_ogataea_kodamae_160519
yHMPu5000034900_ogataea_methanolica_160519	Ogataea_methanolica_CBS6515	yHMPu5000034900_ogataea_methanolica_160519	yHMPu5000034900_ogataea_methanolica_160519	Ogataea_methanolica	Ogataea_methanolica	yHMPu5000034900_ogataea_methanolica_160519
yHMPu5000034901_Ogataea_methylivora_SPADES	Ogataea_methylivora_CBS7300	yHMPu5000034901_Ogataea_methylivora_SPADES	yHMPu5000034901_Ogataea_methylivora_SPADES	Ogataea_methylivora_NRRL_Y-17250	Ogataea_methylivora_NRRL_Y-17250	yHMPu5000034901_Ogataea_methylivora_SPADES
yHMPu5000034902_ogataea_minuta_160519	Ogataea_minuta_CBS1708	yHMPu5000034902_ogataea_minuta_160519	yHMPu5000034902_ogataea_minuta_160519	Ogataea_minuta	Ogataea_minuta	yHMPu5000034902_ogataea_minuta_160519
yHMPu5000034903_ogataea_naganishii_160519	Ogataea_naganishii_CBS6429	yHMPu5000034903_ogataea_naganishii_160519	yHMPu5000034903_ogataea_naganishii_160519	Ogataea_naganishii	Ogataea_naganishii	yHMPu5000034903_ogataea_naganishii_160519
yHMPu5000034904_Ogataea_nonfermentans_SPADES	Ogataea_nonfermentans_CBS5764	yHMPu5000034904_Ogataea_nonfermentans_SPADES	yHMPu5000034904_Ogataea_nonfermentans_SPADES	Ogataea_nonfermentans	Ogataea_nonfermentans	yHMPu5000034904_Ogataea_nonfermentans_SPADES
yHMPu5000034906_candida_succiphila_160519	Candida_succiphila_CBS8003	yHMPu5000034906_candida_succiphila_160519	yHMPu5000034906_candida_succiphila_160519	Candida_succiphila	Candida_succiphila	yHMPu5000034906_candida_succiphila_160519
yHMPu5000034908_candida_sp_160519	Ogataea_sp._NRRLYB-2442	yHMPu5000034908_candida_sp_160519	yHMPu5000034908_candida_sp_160519	Ogataea_sp._NRRL_YB-2442	Ogataea_sp._NRRL_YB-2442	yHMPu5000034908_candida_sp_160519
yHMPu5000034909_candida_sp_160519	Ogataea_sp._CBS8086	yHMPu5000034909_candida_sp_160519	yHMPu5000034909_candida_sp_160519	Ogataea_sp._NRRL_Y-27170	Ogataea_sp._NRRL_Y-27170	yHMPu5000034909_candida_sp_160519
